
2025/03/02 (22:35:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (23:15:01) | ===> btop++ v.1.4.0
2025/03/02 (23:15:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:54:29) | ===> btop++ v.1.4.0
2025/03/04 (20:54:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (23:49:03) | ===> btop++ v.1.4.0
2025/03/04 (23:49:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (20:13:29) | ===> btop++ v.1.4.0
2025/03/05 (20:13:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (21:23:08) | ===> btop++ v.1.4.0
2025/03/05 (21:23:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (21:44:38) | ===> btop++ v.1.4.0
2025/03/05 (21:44:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (22:44:22) | ===> btop++ v.1.4.0
2025/03/05 (22:44:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (22:10:14) | ===> btop++ v.1.4.0
2025/03/20 (22:10:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (19:20:15) | ===> btop++ v.1.4.0
2025/03/22 (19:20:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (20:08:57) | ===> btop++ v.1.4.0
2025/03/22 (20:08:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (17:41:38) | ===> btop++ v.1.4.0
2025/03/26 (17:41:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (13:57:06) | ===> btop++ v.1.4.0
2025/03/29 (13:57:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (18:32:00) | ===> btop++ v.1.4.0
2025/03/30 (18:32:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (18:32:45) | ===> btop++ v.1.4.0
2025/03/30 (18:32:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (15:25:02) | ===> btop++ v.1.4.0
2025/03/31 (15:25:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (15:58:51) | ===> btop++ v.1.4.0
2025/03/31 (15:58:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (15:59:52) | ===> btop++ v.1.4.0
2025/03/31 (15:59:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (16:18:33) | ===> btop++ v.1.4.0
2025/03/31 (16:18:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (14:01:18) | ===> btop++ v.1.4.0
2025/04/01 (14:01:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (00:02:44) | ===> btop++ v.1.4.0
2025/04/02 (00:02:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (23:17:58) | ===> btop++ v.1.4.0
2025/04/02 (23:17:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (11:34:04) | ===> btop++ v.1.4.0
2025/04/03 (11:34:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (12:03:02) | ===> btop++ v.1.4.0
2025/04/03 (12:03:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (16:56:49) | ===> btop++ v.1.4.0
2025/04/05 (16:56:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (17:32:25) | ===> btop++ v.1.4.0
2025/04/16 (17:32:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (18:13:23) | ===> btop++ v.1.4.0
2025/04/16 (18:13:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (15:35:58) | ===> btop++ v.1.4.0
2025/04/17 (15:35:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (20:30:10) | ===> btop++ v.1.4.0
2025/04/17 (20:30:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (22:16:48) | ===> btop++ v.1.4.0
2025/04/17 (22:16:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (22:04:04) | ===> btop++ v.1.4.0
2025/04/18 (22:04:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (15:30:06) | ===> btop++ v.1.4.0
2025/04/19 (15:30:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (15:44:48) | ===> btop++ v.1.4.0
2025/04/19 (15:44:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (23:01:57) | ===> btop++ v.1.4.0
2025/04/20 (23:01:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (23:20:24) | ===> btop++ v.1.4.0
2025/04/20 (23:20:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (21:44:49) | ===> btop++ v.1.4.0
2025/04/21 (21:44:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (21:45:20) | ===> btop++ v.1.4.0
2025/04/21 (21:45:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (22:00:31) | ===> btop++ v.1.4.0
